"","team_api_id","totalGoals","maxTotalDefenceAttr","maxTotalChanceCreation","maxTotalBuildUp","team_long_name","team_short_name"
"211",8066,345,139,174,169,"Inverness Caledonian Thistle","INV"
"212",9925,695,200,205,180,"Celtic","CEL"
"213",9800,257,200,210,178,"St. Mirren","MIR"
"214",8429,185,195,200,143,"Hamilton Academical FC","HAM"
"215",9938,438,200,205,171,"Dundee United","DUU"
"216",8467,308,142,150,162,"St. Johnstone FC","JOH"
"217",8284,127,154,158,142,"Dundee FC","DUF"
"218",8649,192,143,153,153,"Ross County FC","ROS"
"219",8426,135,143,160,143,"Partick Thistle F.C.","PAR"
"220",10267,484,175,185,116,"Valencia CF","VAL"
"221",8661,238,156,163,172,"RCD Mallorca","MAL"
"222",8371,232,177,193,143,"CA Osasuna","OSA"
"223",10205,364,165,161,126,"Villarreal CF","VIL"
"224",9783,241,154,187,157,"RC Deportivo de La Coruña","COR"
"225",8633,843,178,200,153,"Real Madrid CF","REA"
"226",8388,38,158,160,137,"CD Numancia","NUM"
"227",8634,849,195,175,122,"FC Barcelona","BAR"
"228",8696,160,168,205,147,"Racing Santander","SAN"
"229",8302,478,195,206,183,"Sevilla FC","SEV"
"230",9869,200,195,185,153,"Real Sporting de Gijón","SPG"
"231",8305,345,164,155,117,"Getafe CF","GET"
"232",8603,225,165,206,145,"Real Betis Balompié","BET"
"233",8479,34,151,140,148,"RC Recreativo","HUE"
"234",8558,338,180,196,146,"RCD Espanyol","ESP"
"235",10281,170,161,172,153,"Real Valladolid","VAL"
"236",8315,415,170,184,131,"Athletic Club de Bilbao","BIL"
"237",9865,202,193,180,152,"UD Almería","ALM"
"238",9906,524,160,206,157,"Atlético Madrid","AMA"
"239",9864,377,164,191,129,"Málaga CF","MAL"
"240",8394,159,158,166,154,"Real Zaragoza","ZAR"
"241",9867,40,174,180,163,"CD Tenerife","TEN"
"242",10278,36,160,178,154,"Hércules Club de Fútbol","HER"
"243",8581,241,155,182,171,"Levante UD","LEV"
"244",8560,316,171,171,162,"Real Sociedad","SOC"
"245",7878,179,170,200,166,"Granada CF","GRA"
"246",8370,247,178,161,141,"Rayo Vallecano","RAY"
"247",9910,184,169,179,169,"RC Celta de Vigo","CEL"
"248",10268,65,158,165,171,"Elche CF","ELC"
"249",8372,83,142,179,165,"SD Eibar","EIB"
"250",7869,22,129,171,146,"Córdoba CF","COR"
"251",8306,45,171,187,147,"UD Las Palmas","LAS"
"252",9956,429,160,184,164,"Grasshopper Club Zürich","GRA"
"253",10192,529,170,202,172,"BSC Young Boys","YB"
"254",9931,619,180,186,170,"FC Basel","BAS"
"255",9930,153,150,181,156,"FC Aarau","AAR"
"256",10179,371,146,177,155,"FC Sion","SIO"
"257",10199,421,153,175,165,"FC Luzern","LUZ"
"258",9824,100,133,137,141,"FC Vaduz","VAD"
"259",10243,468,163,165,157,"FC Zürich","ZUR"
"260",10190,276,155,157,146,"FC St. Gallen","GAL"
"261",10191,279,145,166,152,"FC Thun","THU"
"262",7730,99,165,164,141,"FC Lausanne-Sports","LAU"
